,City,Country,Latitude,Longitude,Temperature(F),Humidity,WindSpeed (MPH),Cloudiness
0,Katsuura,JP,33.93,134.5,49.7,84,1.7,0
1,Port Alfred,ZA,-33.59,26.89,68.78,98,3.04,44
2,Ushuaia,AR,-54.81,-68.31,44.6,87,6.93,40
3,Pangnirtung,CA,66.15,-65.72,32.0,82,10.29,75
4,Busselton,AU,-33.64,115.35,63.56,100,16.69,24
5,Oistins,BB,13.07,-59.53,84.2,66,16.11,40
6,Nantucket,US,41.28,-70.1,38.12,93,8.05,90
7,Berlevag,NO,70.86,29.09,29.59,92,36.91,75
8,Qaanaaq,GL,77.48,-69.36,3.53,81,8.08,0
9,Juneau,US,58.3,-134.42,37.4,40,18.34,40
10,Norman Wells,CA,65.28,-126.83,5.0,65,6.93,75
11,Albany,AU,-35.02,117.88,63.56,92,9.53,92
12,Chuy,UY,-33.69,-53.46,69.23,92,8.75,32
13,Hobart,AU,-42.88,147.33,53.6,71,3.36,20
14,Cape Town,ZA,-33.93,18.42,62.6,88,11.41,0
15,Hermanus,ZA,-34.42,19.24,58.7,92,4.16,12
16,Cotonou,BJ,6.37,2.43,84.2,79,13.87,40
17,Langsa,ID,4.47,97.97,70.67,96,2.15,68
18,Cikampek,ID,-6.42,107.46,68.78,94,3.27,0
19,Mahebourg,MU,-20.41,57.7,80.6,88,6.93,75
20,New Norfolk,AU,-42.78,147.06,53.6,71,3.36,20
21,Kaitangata,NZ,-46.28,169.85,61.22,58,33.35,0
22,Bulgan,MN,48.81,103.53,21.98,76,0.47,56
23,Longyearbyen,SJ,78.22,15.64,8.6,50,16.11,75
24,Cherskiy,RU,68.75,161.3,30.35,75,6.06,8
25,Batagay-Alyta,RU,67.8,130.41,7.4,85,4.94,80
26,Jaisalmer,IN,26.91,70.91,77.06,42,7.52,0
27,Torbay,CA,47.66,-52.73,30.2,63,4.7,75
28,Chokurdakh,RU,70.62,147.9,20.0,80,7.85,68
29,Jamestown,SH,-15.94,-5.72,74.63,100,13.44,20
30,Talnakh,RU,69.49,88.39,-11.06,73,9.64,64
31,Ponta do Sol,CV,17.2,-25.09,68.96,100,13.78,32
32,Pierre,US,44.37,-100.35,17.6,67,14.99,40
33,The Valley,AI,18.22,-63.06,82.4,61,9.17,20
34,Rikitea,PF,-23.12,-134.97,80.03,100,12.44,88
35,San Felipe,VE,10.34,-68.74,80.03,62,3.38,68
36,Siocon,PH,11.03,124.04,77.78,100,2.37,12
37,Constitucion,CL,-35.33,-72.42,59.33,95,4.16,20
38,Hervey Bay,AU,-25.3,152.85,72.74,100,16.8,100
39,Jaragua,BR,-15.76,-49.33,72.92,95,4.27,32
40,Khatanga,RU,71.98,102.47,-24.11,36,3.38,24
41,Kapaa,US,22.08,-159.32,76.86,65,4.7,90
42,Castro,CL,-42.48,-73.76,59.78,95,11.32,92
43,Nizhniy Odes,RU,63.64,54.86,39.35,88,10.76,92
44,Punta Arenas,CL,-53.16,-70.91,45.45,61,10.29,40
45,Camacha,PT,33.08,-16.33,62.6,63,11.41,20
46,Tabou,CI,4.42,-7.36,81.83,100,10.65,44
47,Lompoc,US,34.64,-120.46,62.02,72,11.41,40
48,Arraial do Cabo,BR,-22.97,-42.02,85.05,66,3.36,40
49,Vaini,TO,-21.2,-175.2,78.8,88,13.87,75
50,Maniitsoq,GL,65.42,-52.9,26.3,80,2.04,0
51,Mayo,CA,63.59,-135.9,14.0,36,2.24,20
52,Butaritari,KI,3.07,172.79,79.58,100,5.95,56
53,Qasigiannguit,GL,68.82,-51.19,17.6,92,2.24,40
54,Avarua,CK,-21.21,-159.78,80.6,83,8.05,75
55,Bethel,US,60.79,-161.76,24.8,58,14.99,1
56,Atuona,PF,-9.8,-139.03,80.75,100,16.46,100
57,Kodiak,US,39.95,-94.76,39.2,80,19.46,90
58,Krasnoborsk,RU,61.56,45.93,35.12,97,11.43,80
59,Ecoporanga,BR,-18.37,-40.83,84.53,51,4.94,56
60,Bajil,YE,15.06,43.29,75.26,67,3.6,0
61,Tuktoyaktuk,CA,69.44,-133.03,-0.71,70,4.7,90
62,Ribeira Grande,PT,38.52,-28.7,59.0,62,10.29,20
63,Itacarambi,BR,-15.1,-44.09,85.52,52,2.82,0
64,Luangwa,ZM,-12.88,28.25,66.17,94,2.82,56
65,Whitley Bay,GB,55.04,-1.44,42.28,100,5.82,90
66,Port Elizabeth,ZA,-33.92,25.57,68.0,94,4.7,40
67,Lebu,CL,-37.62,-73.65,59.15,95,3.15,44
68,Sao Filipe,CV,14.9,-24.5,69.68,99,14.45,0
69,Khandyga,RU,62.65,135.58,11.63,75,5.95,68
70,Hilo,US,19.71,-155.08,72.84,78,5.82,90
71,Tasiilaq,GL,65.61,-37.64,21.2,73,20.8,88
72,Coihaique,CL,-45.58,-72.07,56.03,87,8.05,75
73,Azul,AR,-36.78,-59.86,75.17,49,4.94,0
74,Dikson,RU,73.51,80.55,-10.52,73,10.42,12
75,Chicama,PE,-7.84,-79.15,73.4,73,8.05,0
76,Ixtapa,MX,20.71,-105.21,82.91,34,2.93,0
77,Williams Lake,CA,52.13,-122.14,37.4,32,11.41,75
78,Comodoro Rivadavia,AR,-45.87,-67.48,55.4,93,10.29,75
79,Benghazi,LY,32.12,20.07,59.0,77,9.17,0
80,Tuatapere,NZ,-46.13,167.69,57.26,100,27.31,80
81,Necochea,AR,-38.55,-58.74,73.91,61,5.61,0
82,Bredasdorp,ZA,-34.53,20.04,68.0,82,6.93,12
83,Pevek,RU,69.7,170.27,27.02,70,6.62,0
84,Yellowknife,CA,62.45,-114.38,6.8,46,9.17,20
85,Isla Mujeres,MX,21.23,-86.73,82.4,65,19.46,40
86,Upernavik,GL,72.79,-56.15,18.38,100,9.08,88
87,Bambous Virieux,MU,-20.34,57.76,80.6,88,6.93,75
88,Faanui,PF,-16.48,-151.75,81.56,100,10.42,80
89,Bowen,AU,-20.01,148.25,71.6,94,16.11,90
90,Hobyo,SO,5.35,48.53,81.74,84,10.31,88
91,Umm Kaddadah,SD,13.6,26.69,67.34,14,10.2,0
92,La Rioja,AR,-29.41,-66.86,82.64,42,3.83,0
93,Bat Yam,IL,32.02,34.75,63.59,77,1.12,20
94,Fairbanks,US,64.84,-147.72,20.03,44,17.22,40
95,Fortuna,US,40.6,-124.16,57.02,58,5.82,1
96,Paamiut,GL,61.99,-49.67,32.87,90,6.29,24
97,Husavik,IS,66.04,-17.34,26.6,92,2.24,40
98,Puerto Ayora,EC,-0.74,-90.35,86.0,51,5.82,20
99,Kruisfontein,ZA,-34.0,24.73,66.08,95,10.2,0
100,Belyy Yar,RU,53.6,91.39,21.2,67,8.95,0
101,Moindou,NC,-21.69,165.68,71.6,78,2.24,75
102,North Bend,US,43.41,-124.22,53.6,58,8.05,75
103,Saint-Philippe,RE,-21.36,55.77,79.65,78,13.87,20
104,Channel-Port aux Basques,CA,47.57,-59.14,29.72,100,9.19,8
105,Lagoa,PT,37.14,-8.45,59.0,87,13.87,0
106,Saryozek,KZ,44.36,77.98,23.6,75,4.38,0
107,Baghdad,IQ,33.3,44.38,75.2,31,3.36,0
108,Bluff,NZ,-46.6,168.33,57.71,98,38.61,92
109,Tiksi,RU,71.64,128.87,2.36,77,6.62,56
110,Biltine,TD,14.53,20.93,72.74,19,9.64,0
111,Kokopo,PG,-4.34,152.27,82.01,100,9.19,24
112,Narsaq,GL,60.91,-46.05,41.0,41,6.93,75
113,Puerto Carreno,CO,6.19,-67.49,79.76,79,2.37,32
114,Pangody,RU,65.85,74.49,-3.68,52,10.2,68
115,Haradok,BY,55.46,29.99,35.84,90,8.86,92
116,Barrow,US,39.51,-90.4,47.32,100,18.34,90
117,Huanren,CN,41.26,125.37,27.29,56,5.28,0
118,Leh,IN,34.16,77.58,13.97,92,1.36,88
119,Adrar,DZ,27.87,-0.29,84.2,9,5.82,0
120,Marawi,SD,18.48,31.82,66.98,23,6.17,0
121,Morondava,MG,-20.3,44.28,80.03,93,5.39,56
122,Saskylakh,RU,71.97,114.09,-20.6,30,5.39,0
123,Nosy Varika,MG,-20.58,48.53,75.26,100,2.93,56
124,Sitka,US,37.17,-99.65,51.14,34,28.43,0
125,Chiredzi,ZW,-21.05,31.67,70.58,74,3.71,0
126,Chapais,CA,49.78,-74.86,14.0,40,5.82,1
127,Vestmannaeyjar,IS,63.44,-20.27,32.42,100,12.21,48
128,Victoria,SC,-4.62,55.45,84.2,79,2.24,40
129,Mareeba,AU,-16.99,145.42,71.6,88,3.36,0
130,Bayji,IQ,34.93,43.49,72.65,31,7.63,92
131,Flinders,AU,-34.58,150.85,59.0,100,5.82,0
132,Kabanjahe,ID,3.1,98.49,66.26,100,1.59,64
133,Korcula,HR,42.96,17.14,53.6,54,2.24,0
134,Pachperwa,IN,27.52,82.65,67.16,75,3.15,8
135,Mar del Plata,AR,-46.43,-67.52,64.1,64,4.27,80
136,Ancud,CL,-41.87,-73.83,60.5,97,11.65,92
137,Hofn,IS,64.25,-15.21,33.86,100,23.73,0
138,Baculin,PH,7.45,126.58,74.99,97,6.51,8
139,Nikolskoye,RU,59.7,30.79,30.2,58,4.47,40
140,Georgetown,SH,-7.93,-14.42,78.8,69,11.41,20
141,Shingu,JP,33.72,135.99,61.76,91,10.2,0
142,Carbonia,IT,39.17,8.53,59.99,87,10.29,92
143,Eureka,US,40.8,-124.16,57.22,66,5.82,1
144,Aklavik,CA,68.22,-135.01,3.2,65,11.41,90
145,Kavieng,PG,-2.57,150.8,83.63,100,8.41,12
146,Puerto Ayacucho,VE,5.66,-67.62,82.46,84,4.27,64
147,Grand Gaube,MU,-20.01,57.66,80.6,88,6.93,75
148,Vila Velha,BR,-3.71,-38.6,84.2,70,13.87,20
149,San Juan,AR,-31.54,-68.53,81.02,43,2.59,0
150,Port Lincoln,AU,-34.72,135.86,58.7,100,8.41,12
151,Nalut,LY,31.86,10.98,77.06,23,16.24,0
152,Vilyuysk,RU,63.75,121.63,-0.26,66,2.59,48
153,Cap-aux-Meules,CA,47.38,-61.86,32.0,97,9.17,40
154,East London,ZA,-33.02,27.91,73.1,100,2.59,88
155,Dalvik,IS,65.97,-18.53,26.6,92,2.24,40
156,Buchanan,LR,5.88,-10.05,82.4,83,3.36,40
157,Sola,VU,-13.88,167.55,81.56,100,8.63,64
158,Port Pirie,AU,-33.18,138.01,53.6,93,5.82,0
159,Lima,PE,-12.06,-77.04,68.96,68,2.71,36
160,Fort Nelson,CA,58.81,-122.69,17.6,52,4.7,75
161,Trat,TH,12.25,102.51,78.05,100,2.71,64
162,Natal,BR,-5.81,-35.21,82.4,78,11.41,40
163,Touros,BR,-5.2,-35.46,82.28,81,14.12,80
164,Vallenar,CL,-28.58,-70.76,67.88,69,2.93,0
165,Moose Factory,CA,51.26,-80.61,8.6,55,16.11,1
166,Guerrero Negro,MX,27.97,-114.04,67.7,59,11.77,0
167,Alyangula,AU,-13.85,136.42,83.36,100,3.15,12
168,Kalaleh,IR,37.38,55.49,47.72,92,4.38,12
169,Atambua,ID,-9.11,124.89,76.34,100,3.83,48
170,Havre-Saint-Pierre,CA,50.23,-63.6,32.0,91,9.17,1
171,Tazovskiy,RU,67.47,78.7,-12.14,59,6.51,24
172,Dingle,IE,52.14,-10.27,45.92,95,7.52,0
173,Poum,NC,-20.23,164.02,79.31,100,17.36,100
174,Colesberg,ZA,-30.72,25.1,55.82,98,2.37,80
175,Godo,JP,35.42,136.61,59.0,87,2.24,0
176,Bundaberg,AU,-24.87,152.35,76.52,99,24.07,92
177,Banepa,NP,27.63,85.52,60.8,87,5.82,75
178,Sorong,ID,-0.86,131.25,78.14,100,3.15,56
179,Carnarvon,AU,-24.87,113.63,81.11,87,18.03,0
180,Gull Lake,CA,50.1,-108.48,17.6,72,11.41,1
181,Mount Gambier,AU,-37.83,140.78,44.03,87,2.26,0
182,Gympie,AU,-26.2,152.66,65.81,98,6.62,92
183,Esil,KZ,51.96,66.41,18.74,83,9.42,0
184,Viedma,AR,-40.81,-62.99,81.92,38,13.11,8
185,Tuy Hoa,VN,13.08,109.3,70.67,98,2.59,68
186,Lensk,RU,60.71,114.91,5.96,64,2.71,68
187,Simao,CN,22.76,100.79,54.83,90,1.92,0
188,Bafia,CM,4.74,11.22,72.29,96,3.15,76
189,Tirumullaivasal,IN,11.24,79.84,78.95,95,6.51,0
190,Kirakira,SB,-10.46,161.92,82.82,100,10.42,80
191,Iqaluit,CA,63.75,-68.52,15.8,85,23.04,90
192,Senador Jose Porfirio,BR,-2.59,-51.95,77.51,95,3.6,76
193,Olavarria,AR,-36.89,-60.32,75.35,50,6.62,0
194,Hit,IQ,33.64,42.83,75.35,29,10.2,88
195,Hithadhoo,MV,-0.6,73.08,83.0,100,4.27,80
196,Dahegam,IN,23.17,72.82,84.2,26,3.36,0
197,Yokadouma,CM,3.52,15.05,72.29,85,2.71,20
198,Haines Junction,CA,60.75,-137.51,11.0,75,2.93,80
199,Kahului,US,20.89,-156.47,76.24,74,19.46,40
200,Cayenne,GF,4.94,-52.33,84.2,70,11.41,0
201,Gorontalo,ID,0.54,123.06,71.93,96,1.81,20
202,Nelson Bay,AU,-32.72,152.14,66.2,93,5.82,75
203,Asmara,ER,15.34,38.93,64.55,90,2.59,0
204,Thompson,CA,55.74,-97.86,14.0,40,14.99,75
205,Solnechnyy,RU,50.72,136.64,23.87,62,9.64,48
206,Livingstone,ZM,-17.84,25.85,66.89,67,4.5,0
207,Saint George,BM,32.38,-64.68,71.6,73,6.93,75
208,Caravelas,BR,-17.73,-39.27,81.29,100,14.79,0
209,Alofi,NU,-19.06,-169.92,82.73,98,18.14,88
210,Sakete,BJ,6.74,2.66,84.2,79,13.87,40
211,Burgeo,CA,47.61,-57.61,31.43,100,20.04,0
212,San Vicente,PH,14.11,122.87,80.21,100,10.42,12
213,Nome,US,30.04,-94.42,80.17,61,16.11,90
214,Nsanje,MW,-16.92,35.26,77.87,74,6.85,12
215,Kuching,MY,1.56,110.34,75.2,100,3.36,75
216,Suslovo,RU,56.22,88.12,15.59,69,8.08,64
217,Verkhoyansk,RU,67.55,133.39,12.08,79,5.5,88
218,Den Helder,NL,52.96,4.76,48.15,87,11.41,75
219,Leningradskiy,RU,69.38,178.42,15.86,97,23.73,20
220,Shar,KZ,49.59,81.05,17.75,87,7.4,24
221,Murdochville,CA,48.96,-65.49,28.19,74,12.1,80
222,Aksum,ET,14.12,38.72,65.9,42,3.6,80
223,Cidreira,BR,-30.17,-50.22,71.93,88,4.16,100
224,Madera,MX,29.2,-108.14,65.72,31,6.51,0
225,Meulaboh,ID,4.14,96.13,79.13,100,4.27,64
226,Zhigansk,RU,66.77,123.37,-5.75,57,6.29,8
227,Mehamn,NO,71.03,27.85,30.2,80,23.04,75
228,Clyde River,CA,70.47,-68.59,8.6,71,20.8,1
229,Cuyo,PH,10.85,121.01,81.56,99,9.08,44
230,Porbandar,IN,21.64,69.61,72.92,84,8.75,12
231,Angoram,PG,-4.06,144.07,75.17,99,2.26,80
232,Lahat,ID,-3.78,103.55,71.57,99,3.38,92
233,Esperance,AU,-33.86,121.89,70.49,62,13.0,0
234,Kihei,US,20.76,-156.45,76.28,74,19.46,40
235,Saginaw,US,43.42,-83.95,36.05,96,18.34,90
236,Winnemucca,US,40.97,-117.74,53.6,18,3.27,1
237,Ballina,IE,54.11,-9.15,37.4,100,11.41,90
238,Sao Jose da Coroa Grande,BR,-8.9,-35.15,77.6,93,7.4,32
239,Agadez,NE,16.97,7.99,75.98,16,8.97,0
240,Vostok,RU,46.45,135.83,15.32,51,3.71,0
241,Puquio,PE,-14.69,-74.12,54.2,60,6.73,32
242,Imbituba,BR,-28.24,-48.67,75.2,78,13.87,75
243,Barabai,ID,-2.59,115.38,74.72,96,2.48,88
244,Sisimiut,GL,66.94,-53.67,21.53,92,1.14,32
245,Ahipara,NZ,-35.17,173.16,64.55,98,3.15,44
246,Pitimbu,BR,-7.47,-34.81,82.4,69,11.41,40
247,Vernon,FR,49.09,1.49,46.4,87,11.41,0
248,Ilulissat,GL,69.22,-51.1,17.6,92,2.24,40
249,Abong Mbang,CM,3.98,13.18,67.97,96,2.37,48
250,Moranbah,AU,-22.0,148.04,67.34,92,17.36,100
251,Pringsewu,ID,-5.36,104.98,74.18,97,0.69,80
252,Oyama,JP,36.31,139.8,51.89,93,3.36,40
253,Puerto del Rosario,ES,28.5,-13.86,66.2,68,17.22,40
254,Padang,ID,-0.92,100.36,81.65,100,0.36,32
255,West Bay,KY,19.37,-81.42,84.2,70,16.11,20
256,La Ronge,CA,55.1,-105.3,14.0,43,11.41,5
257,Lorengau,PG,-2.02,147.27,84.26,95,12.55,68
258,Athabasca,CA,54.72,-113.29,20.9,91,4.16,36
259,Oktyabrskiy,RU,55.61,37.97,32.02,80,4.47,0
260,Perth,AU,-31.95,115.86,66.2,100,3.36,8
261,Carauari,BR,-4.88,-66.9,80.93,84,6.17,76
262,Cootamundra,AU,-34.64,148.03,56.72,94,4.94,0
263,Deputatskiy,RU,69.3,139.9,-3.41,60,2.71,32
264,Pesaro,IT,43.91,12.91,50.0,93,1.12,0
265,Zomin,UZ,39.96,68.4,51.86,83,3.83,0
266,Lhanbryde,GB,57.64,-3.22,36.19,100,5.82,75
267,Chinsali,ZM,-10.55,32.07,65.27,91,7.85,64
268,Grindavik,IS,63.84,-22.43,30.31,74,21.92,40
269,Bubaque,GW,11.28,-15.83,77.0,73,13.87,0
270,Aykhal,RU,65.95,111.51,-6.47,56,2.71,8
271,Scarborough,GB,54.28,-0.41,46.4,87,4.7,8
272,Sarkand,KZ,45.41,79.91,20.45,82,7.74,0
273,Urusha,RU,54.05,122.9,11.81,42,6.85,0
274,Nouadhibou,MR,20.93,-17.03,66.2,77,18.34,44
275,Baringo,KE,0.47,35.97,59.15,96,2.26,24
276,Saint-Francois,GP,16.25,-61.27,82.4,61,10.29,75
277,Emerald,AU,-23.53,148.16,71.48,61,15.68,64
278,Kulhudhuffushi,MV,6.62,73.07,83.27,100,6.29,88
279,Raudeberg,NO,61.99,5.14,34.38,69,12.75,92
280,Namibe,AO,-15.19,12.15,79.04,100,10.42,92
281,Cabo San Lucas,MX,22.89,-109.91,77.99,50,11.41,5
282,Chiriguana,CO,9.36,-73.6,83.81,92,2.93,68
283,Port Hardy,CA,50.7,-127.42,42.8,81,5.82,75
284,Yuxia,CN,34.06,108.63,53.6,58,17.9,76
285,Harper,LR,4.38,-7.71,81.74,100,8.75,44
286,Pavlodar,KZ,52.28,76.96,23.0,100,6.71,0
287,Campbell River,CA,50.02,-125.24,45.82,65,5.82,75
288,Vao,NC,-22.67,167.48,78.14,100,21.05,56
289,Freeport,US,42.3,-89.62,35.64,100,17.22,90
290,Yarada,IN,17.65,83.27,83.45,97,12.66,0
291,Niamey,NE,13.52,2.11,95.0,6,5.82,0
292,Srandakan,ID,-7.94,110.25,67.16,100,2.48,20
293,Arlit,NE,18.74,7.39,79.85,28,7.96,76
294,Vardo,NO,70.37,31.11,29.57,100,23.04,75
295,Conde,BR,-11.81,-37.61,82.55,76,8.19,0
296,Luba,GQ,3.46,8.55,78.8,88,1.12,20
297,Bilma,NE,18.69,12.92,70.13,25,7.18,0
298,Shache,CN,38.42,77.24,52.85,53,7.96,88
